Group,Family,Scope,Source_Variant,Best_Model,AUC,PR_AUC,C_Index,Brier,Calibration_Intercept,Calibration_Slope,Threshold,Note
nonhyper_g3_cluster_soft_state_windowed_mainChampion_auxLatent,fusion,nonhyper,g3_cluster_soft_state,Elastic LR,0.8509255917083484,0.3139041201487465,0.7633817795108118,0.06334140251491363,0.7392764087030756,1.4666179683966423,0.17999999999999997,windowed direct + champion main sidecar + latent auxiliary sidecar
nonhyper_g2_pca_manifold_best_sidecar,sidecar,nonhyper,g2_pca_manifold,Linear,0.8212757180425927,0.30095503072236995,0.7203119461183978,0.06472629402509462,-0.08308592304238045,1.004597914423915,0.07999999999999999,best sidecar after fs/calibration sweep; candidate=nonhyper_g2_pca_manifold_nofs_raw
baseline_direct_monotonic,direct,normal,direct_monotonic,Monotonic LightGBM,0.8374155623162998,0.2983023565666877,0.7497341368309111,0.07396751967985593,-0.8007625611067977,0.43562265774096065,0.039999999999999994,monotonic direct anchor
nonhyper_g3_cluster_soft_state_direct_monotonic_fusion,fusion,nonhyper,g3_cluster_soft_state,Elastic LR,0.8433971020471304,0.2914093676309936,0.78287841191067,0.0644622847205666,1.1391828259900838,1.6989713115700997,0.13999999999999999,direct=direct_monotonic; latent_sidecar=g3_cluster_soft_state; scope=nonhyper
normal_g2_pca_manifold_best_sidecar,sidecar,normal,g2_pca_manifold,Linear,0.8182849481771772,0.2895165358978168,0.7289968096419709,0.06493699574620028,0.29623824690353745,1.1806433099536502,0.07999999999999999,best sidecar after fs/calibration sweep; candidate=normal_g2_pca_manifold_nofs_raw
nonhyper_g4_residual_pca_direct_monotonic_fusion,fusion,nonhyper,g4_residual_pca,Elastic LR,0.8468519568916619,0.28823780893121725,0.7913860333215172,0.06446218290829225,1.391854861708176,1.8118540676943657,0.12999999999999998,direct=direct_monotonic; latent_sidecar=g4_residual_pca; scope=nonhyper
nonhyper_g3_cluster_soft_state_best_sidecar,sidecar,nonhyper,g3_cluster_soft_state,Calibrated,0.8190068581446914,0.27943386900846034,0.7612548741581,0.06497324319750497,0.03799159460606503,1.0794925122032282,0.16999999999999996,best sidecar after fs/calibration sweep; candidate=nonhyper_g3_cluster_soft_state_fs_cal_interval
baseline_champion_best,sidecar,normal,champion,Calibrated,0.8363842623627082,0.27843265428085884,0.728287841191067,0.06679174887059104,-0.30899100193755996,0.9895657676295124,0.12999999999999998,best champion after calibration sweep; candidate=champion_cal_phase
normal_g3_cluster_soft_state_direct_monotonic_fusion,fusion,normal,g3_cluster_soft_state,Elastic LR,0.842365802093539,0.2675524390993353,0.7880184331797235,0.06544766373311227,1.6604878218432717,1.942137826957012,0.14999999999999997,direct=direct_monotonic; latent_sidecar=g3_cluster_soft_state; scope=normal
normal_g4_residual_pca_best_sidecar,sidecar,normal,g4_residual_pca,Calibrated,0.8041045738152942,0.2671415240024641,0.7539879475363346,0.06590394858079408,0.4545521690184867,1.2479009359018687,0.12999999999999998,best sidecar after fs/calibration sweep; candidate=normal_g4_residual_pca_nofs_cal_interval
nonhyper_g4_residual_pca_best_sidecar,sidecar,nonhyper,g4_residual_pca,Calibrated,0.7994637240241325,0.249884767283636,0.6898263027295285,0.06727263227044299,0.5795574940977684,1.2779898024156415,0.11999999999999998,best sidecar after fs/calibration sweep; candidate=nonhyper_g4_residual_pca_nofs_cal_phase
normal_g3_cluster_soft_state_best_sidecar,sidecar,normal,g3_cluster_soft_state,Calibrated,0.7838910947249007,0.23132449304275907,0.7405175469691598,0.06734913525710023,-0.13743090016268752,0.9420629129470766,0.12999999999999998,best sidecar after fs/calibration sweep; candidate=normal_g3_cluster_soft_state_nofs_cal_interval
normal_g5_residual_cluster_hybrid_best_sidecar,sidecar,normal,g5_residual_cluster_hybrid,Calibrated,0.789202289485897,0.21940341552973464,0.7359092520382843,0.06746287539759262,0.4493905368046965,1.2089199073636423,0.12999999999999998,best sidecar after fs/calibration sweep; candidate=normal_g5_residual_cluster_hybrid_nofs_cal_interval
nonhyper_g5_residual_cluster_hybrid_best_sidecar,sidecar,nonhyper,g5_residual_cluster_hybrid,Calibrated,0.7841489197132986,0.18245012452420883,0.6600496277915633,0.0693311199493549,0.1666139560811581,1.0119742551445505,0.10999999999999999,best sidecar after fs/calibration sweep; candidate=nonhyper_g5_residual_cluster_hybrid_nofs_cal_interval
